7565649488,92,,,,
7894677417,7,,,,
1025131902,90,98,53,,
9423564551,61,77,83,46,34
3944055508,58,93,8,,
1715984983,24,23,26,,
4112163549,96,34,105,,
2016451786,63,56,,,
8808746359,53,65,86,72,63
5826433097,48,79,,,
7646474210,8,6,93,103,106
6021355982,38,45,,,
5090704363,71,75,57,52,
7412019108,93,98,6,1,8
8574221481,67,48,72,86,65
9670426356,24,23,46,52,20
1643723919,56,70,79,59,73
1514710656,92,,,,
3947818693,92,106,109,,
5091221436,88,72,98,48,
4101645503,115,50,94,,
3372612128,72,79,48,,
4347317220,51,67,82,50,87
2342365851,24,,,,
3818211313,17,23,24,81,77
8616590484,13,,,,
1672658012,91,80,105,,
2668880700,58,69,51,60,70
6110921208,116,108,109,,
5337983077,60,64,79,90,88
2325955686,46,101,95,98,
9827314054,99,113,95,,
4263829527,58,63,42,,
4748616494,81,78,55,64,84
3088197721,18,26,2,,
8071365759,58,38,79,72,48
7449947069,66,49,79,,
1498143007,52,23,24,,
9170451024,77,52,58,46,47
3594321000,74,51,53,76,70
6069757106,114,28,,,
9720860263,53,61,46,,
1502683551,111,40,93,101,130
4177567698,90,59,65,,
4438701757,95,98,110,91,111
6328946548,38,42,45,43,
7606550929,105,104,100,96,
7912766149,2,10,,,
8234916104,72,59,48,,
8331211385,90,56,79,,
9936082628,28,23,24,36,37
6437949928,24,23,20,,
8074234735,38,42,43,45,
7069546428,58,50,90,63,115
1635817531,64,38,42,43,45
8821046684,92,105,,,
8870943345,96,8,112,46,
3060267508,90,48,78,,
7501513093,108,116,101,102,112
9459379057,105,104,53,1,91
2407830282,15,36,,,
7373396824,38,42,45,43,
3386187230,48,56,58,38,
8170893764,90,66,61,72,
9117183898,23,24,20,,
8552231868,14,114,112,29,13
3991815965,13,114,28,15,26
2732596309,115,,,,
5774320705,107,100,,,
2706636159,113,111,99,,
1206857629,37,,,,
3946882864,72,61,48,84,55
2868471062,52,,,,
2924058017,4,90,52,67,
1046141995,92,96,110,35,8
5232542918,107,,,,
6101288413,107,100,110,,
3613004286,91,81,88,38,43
9546864935,98,7,105,1,
7417537617,13,,,,
4277972541,95,98,99,112,110
1736295178,94,60,61,50,103
5383893271,98,52,58,,
6521968650,65,61,53,8,98
1039644809,32,39,,,
5082140333,48,87,61,,
2578952095,11,5,7,10,2
1318843085,52,61,39,,
3954152893,1,11,,,
8744140747,98,8,106,,
4362376987,107,92,105,14,13
6872917620,105,103,,,
7765564056,98,89,46,77,84
6880007137,15,18,25,22,17
2747909308,20,24,23,,
9085580093,58,62,63,67,79
1178313628,40,115,106,71,
1193356774,51,73,74,72,71
4538102148,46,53,71,81,79
5607284473,8,,,,
7970694997,51,53,48,60,64
6956455871,60,51,64,83,27
4101875827,108,101,116,112,32
6901633566,69,90,8,6,94
6735105136,48,50,103,38,71
9440488544,46,53,52,106,
7401872936,70,66,50,53,48
8974177896,96,104,13,14,
5413401688,1,92,10,,
4340138765,116,108,112,101,111
8041867503,48,67,79,90,53
8934337816,56,71,59,103,108
3481923122,38,45,42,41,27
2995752984,61,53,94,,
8697783753,13,91,92,,
8193073755,94,98,106,99,
1612596168,8,6,56,98,79
9570321246,1,112,99,105,104
4775186936,61,83,,,
4155531237,53,67,60,61,72
5921769096,92,112,16,,
7705087629,52,46,,,
8241926397,58,50,88,70,84
8053114542,90,90,68,78,
2156749314,53,79,56,48,77
1470205770,13,14,91,32,
2613145865,15,17,,,
9983604624,78,87,84,58,79
1917406791,24,77,23,57,
2026678316,66,48,53,79,90
2094003728,100,107,17,,
2287390449,95,66,48,115,
4215198940,105,110,96,,
5365821337,106,65,46,95,
4153032818,61,24,,,
7374609308,24,23,18,28,115
6443541624,94,95,,,
5480623724,84,94,88,,
7933182154,111,108,115,40,113
7907980824,98,92,17,,
1698311698,79,94,98,93,48
5443710107,105,110,112,96,
1116890945,4,61,56,62,84
1970641855,105,92,,,
1991533606,53,1,92,98,
8632522010,66,69,90,53,63
1931242669,70,90,66,48,78
7051169876,64,60,,,
9100869324,105,92,96,,
2210190030,66,69,98,,
9903239714,98,90,49,,
7060794195,23,24,20,,
2125253441,105,,,,
8654060115,53,66,67,72,62
2461521704,61,23,53,83,
3368898662,112,104,105,99,108
8267974789,13,14,,,
6713296684,13,14,,,
3091875614,50,49,,,
8393236102,71,75,48,90,
5478748059,104,112,96,,
3938248739,115,34,65,,
9546674406,103,100,,,
1527692485,24,23,20,115,
9482079116,23,27,34,,
2365841383,13,,,,
1394313768,67,62,70,98,94
3014993850,94,58,,,
3231939758,20,23,24,,
4173121051,44,38,,,
6691248509,112,108,111,99,93
7698545109,94,52,48,66,51
8013263699,107,100,35,,
1653801152,1,4,,,
1996611229,66,69,90,91,72
2657198106,38,43,,,
4122311276,53,87,90,38,
7113436265,23,24,13,,
2571310590,53,92,105,,
5971900419,72,66,48,49,78
2898834372,8,79,98,56,6
9163735659,95,98,,,
3796679377,72,66,59,74,87
4340874177,4,31,29,,
1674246112,2,5,,,
7177720946,61,53,77,,
6357049012,8,95,98,78,22
6084740462,22,,,,
6162423645,46,50,66,,
7223386837,79,74,65,56,62
7827891741,81,61,,,
4184435597,69,66,90,48,88
8855705994,52,61,58,67,65
8839032287,6,8,4,,
1476603790,107,102,3,,
1347737208,116,,,,
2819609013,38,43,42,41,45
3594901990,23,24,,,
6978081275,79,72,50,48,94
9570160731,17,,,,
9842834169,28,13,,,
9990591118,45,42,38,43,
9172856274,24,23,,,
3006526485,48,77,87,61,
8822322362,46,91,48,107,103
7604726115,13,,,,
1386562421,72,54,80,76,78
7464427125,92,105,,,
8334745403,112,116,,,
8794170476,61,58,52,48,
8970589478,103,58,42,41,57
1228263889,66,79,67,38,
2003404686,81,47,,,
4910707030,28,37,15,,
8264709887,52,53,61,83,46
4146261831,74,88,84,79,72
6711225616,69,66,61,90,56
9108264425,62,,,,
1015497512,46,53,61,52,
3567590317,46,52,79,57,83
6626038842,109,33,,,
1731231763,24,106,23,,
5279691840,38,42,,,
4039374555,72,48,71,55,75
2689642269,4,1,9,,
9400581488,100,107,,,
2709035862,56,66,48,78,62
7017227280,53,90,56,48,78
4301256244,22,52,90,53,88
8664899699,48,28,66,88,87
5501414938,44,38,45,43,
6366490729,62,98,63,,
7897412443,61,53,,,
4998443489,13,91,9,,
3304632396,23,24,20,,
1190220890,94,98,106,,
9812026951,33,116,,,
4474505933,114,22,14,13,37
7600390588,55,113,116,54,60
3349405335,48,52,78,98,79
1170425528,98,93,94,46,49
1726485982,48,72,115,56,
4480723396,36,15,,,
5730672378,74,72,64,56,59
8206714816,94,49,50,61,62
2938504478,26,16,21,,
6589862135,20,23,,,
5710277467,94,98,106,45,58
9616443978,84,67,60,64,
9987112025,105,92,11,,
5391074544,102,30,112,116,101
2490861819,4,,,,
3708633626,61,80,115,58,56
1983159448,46,79,83,87,58
3619852663,70,66,69,90,
5752878496,30,108,33,,
3052382349,91,98,93,46,53
8632713272,59,60,53,64,67
3370482984,105,11,112,1,110
4500937889,104,105,92,1,46
3663572800,16,,,,
7158933225,90,87,63,,
8879492700,98,93,78,49,
3735357774,81,115,79,29,31
9422825762,1,91,100,112,99
9789569391,8,63,6,58,57
6273304481,79,48,90,67,72
9993399745,13,14,,,
2819690621,97,98,103,58,62
2936801200,92,105,,,
2058848936,101,108,,,
5135251291,66,79,74,90,48
7943014784,90,63,75,,
1319866272,79,62,58,90,60
6961478129,107,96,,,
9742160433,100,,,,
1936345542,79,76,77,56,88
3962309221,56,90,48,94,83
5372915113,35,96,105,49,4
3620536595,57,71,,,
3312392793,46,84,48,,
3668494622,108,102,25,,
3317683042,53,48,49,46,61
3682605962,13,14,18,,
4799936282,17,20,23,24,26
2705308887,38,42,43,41,45
3247131096,1,105,92,,
9146253180,61,77,52,,
7444395672,15,37,25,,
6597022613,24,14,23,20,28
3136954302,23,24,46,77,
3505422322,66,49,66,90,
6993030747,67,48,72,84,78
6440357946,13,14,24,20,
3201411236,105,92,11,112,116
4064139604,72,51,56,,
9306392120,13,,,,
9590725927,53,86,83,115,46
8102023508,99,104,105,112,
1262692862,48,90,70,67,51
6504200455,93,99,8,108,62
4134954495,33,30,,,
9451805444,52,72,83,81,80
1422861091,23,24,34,,
7058898391,65,,,,
2254140306,92,15,,,
6927750032,56,59,86,79,115
4163728996,98,106,48,78,90
9724560565,6,23,38,98,94
1916734692,79,72,115,,
2369897962,106,57,46,23,24
9973054721,52,77,46,40,20
4138442810,23,24,20,,
6260159605,13,114,,,
1796330105,53,72,58,50,57
3999421377,66,69,90,,
5623591908,112,108,,,
6888399634,66,61,72,,
7808532592,4,6,8,,
5724291103,46,53,52,106,
1867454868,52,58,51,90,
2142004739,115,27,60,44,34
9816023966,66,53,49,52,
5455258218,48,49,50,51,53
9533599286,95,103,94,98,107
1009721985,7,5,2,,
3673633634,90,72,51,,
9411871821,53,91,16,92,11
4006129664,70,69,53,62,73
5811426680,114,20,56,23,48
8733904898,92,105,,,
6322647907,100,103,99,104,107
8310959697,53,69,66,49,58
4481021731,77,46,115,94,106
8712958851,66,69,50,,
1773932985,115,53,23,52,
4360605497,92,105,104,112,
7686082621,105,104,8,98,
8875488099,104,105,112,,
1152470035,56,51,60,94,
4435668910,79,72,81,91,
6763396149,48,90,66,84,
7541649685,53,,,,
6921464855,66,90,50,69,
3151686790,90,48,69,59,71
6708867453,98,94,112,93,
4558998291,115,52,53,46,34
6702881136,76,103,68,51,78
2841060189,95,93,98,107,112
8767151501,43,42,91,,
2075050047,115,34,71,77,79
6007834679,48,98,78,79,
9898327007,2,7,5,11,
9062327367,79,72,56,52,
3689789511,116,2,112,,
2333488699,106,23,24,,
7748152425,108,113,111,31,30
3245737883,48,79,57,38,90
9904740179,13,14,,,
1925619725,53,24,43,20,46
9746390130,44,45,,,
1469799193,105,104,92,,
1684456557,92,1,104,105,
2100945452,79,52,17,15,
5309220625,66,72,68,,
5522382627,91,46,52,53,57
6032399062,58,53,60,51,46
8611596662,104,105,,,
8779278947,110,96,100,107,95
9227386001,104,105,112,29,16
1537368206,61,58,57,23,
4397407907,94,67,60,65,66
9834817366,84,72,59,69,79
5727568432,39,44,42,40,38
3600173203,106,,,,
3893194583,77,64,,,
2522613143,50,69,,,
7631408517,40,111,,,
7701310628,105,92,96,110,
9522301803,53,92,91,16,1
3952045354,66,69,90,61,53
6263436730,64,60,67,77,
7798729009,87,68,76,65,
8821514470,115,13,,,
7136016626,106,65,72,79,77
8305086900,53,,,,
5119282858,105,92,98,53,91
5319811606,70,66,48,61,56
5652121201,79,66,69,53,
1234567890,98,,,,
5763794122,87,45,41,43,38
6442025406,52,53,,,
7231229476,28,37,26,,
7531752059,66,69,67,53,61
4968332367,67,74,60,76,79
1016440386,61,49,77,,
5732154816,15,17,14,,
7137175011,40,108,101,116,111
6461576696,101,111,116,31,24
7882577300,92,23,24,106,
9830248911,58,61,77,1,63
2076187714,38,53,,,
5037506209,40,108,113,101,116
5766563032,53,46,90,48,
3285652754,80,,,,
3905715803,53,49,46,8,93
1109985669,72,53,44,49,69
2669979263,84,79,72,67,
2720959767,104,105,,,
4582663924,11,5,,,
4983157112,92,104,93,105,
6676238184,29,109,,,
7818873819,98,52,,,
7818873819,46,53,,,
8459282308,11,92,105,,
6308983938,61,94,84,48,66
3801945710,112,92,,,
5028924116,105,,,,
1416608155,92,53,65,49,34
3025344918,115,52,46,23,24
5628668644,91,92,105,110,96
8850679126,94,48,79,88,
6005219108,48,50,66,58,71
4832739133,92,91,105,104,114
